epoch	iso	step	mode
1786990097.821262638	2026-08-17T19:08:17+01:00	begin	1920x1080@60
1786990111.864119016	2026-08-17T19:08:31+01:00	settled	1920x1080@60
1786990111.865431496	2026-08-17T19:08:31+01:00	begin	2560x1440@59.95
1786990125.917023211	2026-08-17T19:08:45+01:00	settled	2560x1440@59.95
1786990125.918345900	2026-08-17T19:08:45+01:00	begin	1680x1050@59.88
1786990139.962145877	2026-08-17T19:08:59+01:00	settled	1680x1050@59.88
1786990139.963497210	2026-08-17T19:08:59+01:00	begin	1280x1024@60.02
1786990154.004867410	2026-08-17T19:09:14+01:00	settled	1280x1024@60.02
1786990154.006430071	2026-08-17T19:09:14+01:00	begin	1440x900@59.90
1786990168.049417297	2026-08-17T19:09:28+01:00	settled	1440x900@59.90
1786990168.050986300	2026-08-17T19:09:28+01:00	begin	1280x960@60.00
1786990182.092772928	2026-08-17T19:09:42+01:00	settled	1280x960@60.00
1786990182.094163865	2026-08-17T19:09:42+01:00	begin	1280x720@60.00
1786990196.133808447	2026-08-17T19:09:56+01:00	settled	1280x720@60.00
1786990196.135160492	2026-08-17T19:09:56+01:00	begin	1024x768@60.00
1786990210.174544722	2026-08-17T19:10:10+01:00	settled	1024x768@60.00
1786990210.175845189	2026-08-17T19:10:10+01:00	begin	800x600@60.32
1786990224.212405472	2026-08-17T19:10:24+01:00	settled	800x600@60.32
1786990224.213720687	2026-08-17T19:10:24+01:00	begin	640x480@60.00
1786990238.250528918	2026-08-17T19:10:38+01:00	settled	640x480@60.00
1786990238.251941276	2026-08-17T19:10:38+01:00	begin	1920x1080@60
1786990252.302309660	2026-08-17T19:10:52+01:00	settled	1920x1080@60
