epoch	iso	step	mode
1786991248.813353750	2026-08-17T19:27:28+01:00	begin	1920x1080@60
1786991262.862186704	2026-08-17T19:27:42+01:00	settled	1920x1080@60
1786991262.863583494	2026-08-17T19:27:42+01:00	begin	2560x1440@59.95
1786991276.914360867	2026-08-17T19:27:56+01:00	settled	2560x1440@59.95
1786991276.915666716	2026-08-17T19:27:56+01:00	begin	1680x1050@59.88
1786991290.959589714	2026-08-17T19:28:10+01:00	settled	1680x1050@59.88
1786991290.961045906	2026-08-17T19:28:10+01:00	begin	1280x1024@60.02
1786991305.001615250	2026-08-17T19:28:25+01:00	settled	1280x1024@60.02
1786991305.002880823	2026-08-17T19:28:25+01:00	begin	1440x900@59.90
1786991319.044475189	2026-08-17T19:28:39+01:00	settled	1440x900@59.90
1786991319.045713270	2026-08-17T19:28:39+01:00	begin	1280x960@60.00
1786991333.088092003	2026-08-17T19:28:53+01:00	settled	1280x960@60.00
1786991333.089516425	2026-08-17T19:28:53+01:00	begin	1280x720@60.00
1786991347.131449549	2026-08-17T19:29:07+01:00	settled	1280x720@60.00
1786991347.132650721	2026-08-17T19:29:07+01:00	begin	1024x768@60.00
1786991361.174533416	2026-08-17T19:29:21+01:00	settled	1024x768@60.00
1786991361.175867348	2026-08-17T19:29:21+01:00	begin	800x600@60.32
1786991375.212561296	2026-08-17T19:29:35+01:00	settled	800x600@60.32
1786991375.213849301	2026-08-17T19:29:35+01:00	begin	640x480@60.00
1786991389.250695591	2026-08-17T19:29:49+01:00	settled	640x480@60.00
1786991389.252032999	2026-08-17T19:29:49+01:00	begin	1920x1080@60
1786991403.299635174	2026-08-17T19:30:03+01:00	settled	1920x1080@60
