mode sweep - dock display \\.\DISPLAY85 - started 2026-08-02 12:00:39.000
dwell 3s per mode, 25 modes

HH:MM:SS.fff   WxH @ Hz          result
12:00:39.006   640x480 @ 60       OK
12:00:42.132   640x480 @ 72       OK
12:00:45.206   720x480 @ 60       OK
12:00:48.267   720x576 @ 50       OK
12:00:51.354   800x600 @ 56       OK
12:00:54.457   800x600 @ 60       OK
12:00:57.523   800x600 @ 72       OK
12:01:00.593   800x600 @ 75       OK
12:01:03.654   1024x768 @ 60      OK
12:01:06.720   1024x768 @ 70      OK
12:01:09.784   1024x768 @ 75      OK
12:01:12.845   1280x720 @ 50      OK
12:01:15.905   1280x720 @ 60      OK
12:01:18.975   1280x1024 @ 75     OK
12:01:22.034   1920x1080 @ 50     OK
12:01:25.096   1920x1080 @ 60     OK
12:01:28.158   1920x1080 @ 120    OK
12:01:31.219   1920x1440 @ 60     OK
12:01:34.286   2048x1152 @ 60     OK
12:01:37.338   2560x1440 @ 50     OK
12:01:40.416   2560x1440 @ 60     OK
12:01:43.488   2560x1440 @ 85     OK
12:01:46.549   2560x1440 @ 120    OK
12:01:49.613   2560x1440 @ 165    OK
12:01:52.669   2560x1440 @ 180    OK
12:01:55.744   RESTORE 2560x1440 @ 60 READ-FAILED
finished 2026-08-02 12:01:55.745
